,ZCTA5,STATE,COUNTY
1190,4222,23,1
1191,4224,23,7
1192,4224,23,17
1193,4226,23,17
1194,4227,23,17
1195,4228,23,1
1196,4231,23,17
1197,4234,23,7
1198,4236,23,1
1199,4237,23,17
1200,4238,23,17
1201,4239,23,7
1202,4240,23,1
1203,4250,23,1
1204,4252,23,1
1205,4253,23,1
1206,4254,23,1
1207,4255,23,17
1208,4256,23,1
1209,4257,23,17
1210,4258,23,1
1211,4259,23,11
1212,4260,23,5
1213,4261,23,17
1214,4263,23,1
1215,4265,23,11
1216,4267,23,17
1217,4268,23,17
1218,4270,23,17
1219,4271,23,17
1220,4274,23,1
1221,4275,23,17
1222,4276,23,17
1223,4280,23,1
1224,4281,23,17
1225,4282,23,1
1226,4284,23,11
1227,4285,23,7
1228,4286,23,17
1229,4287,23,23
1230,4289,23,17
1231,4290,23,17
1232,4292,23,17
1233,4294,23,7
1234,4330,23,11
1235,4342,23,15
1236,4343,23,11
1237,4344,23,11
1238,4345,23,11
1239,4345,23,23
1240,4346,23,11
1241,4347,23,11
1242,4348,23,15
1243,4349,23,11
1244,4350,23,11
1245,4351,23,11
1246,4352,23,11
1247,4353,23,15
1248,4354,23,27
1249,4355,23,11
1250,4357,23,23
1251,4358,23,11
1252,4359,23,11
1253,4360,23,11
1254,4363,23,11
1255,4364,23,11
1256,4401,23,19
1257,4406,23,21
1258,4408,23,9
1259,4410,23,19
1260,4411,23,19
1261,4412,23,19
1262,4413,23,29
1263,4414,23,21
1264,4415,23,21
1265,4416,23,9
1266,4417,23,19
1267,4418,23,19
1268,4419,23,19
1269,4421,23,9
1270,4422,23,19
1271,4424,23,3
1272,4424,23,29
1273,4426,23,21
1274,4427,23,19
1275,4428,23,19
1276,4429,23,9
1277,4429,23,19
1278,4430,23,19
1279,4431,23,9
1280,4434,23,19
1281,4435,23,19
1282,4438,23,27
1283,4441,23,21
1284,4442,23,21
1285,4443,23,21
1286,4444,23,19
1287,4448,23,19
1288,4449,23,19
1289,4450,23,19
1290,4451,23,3
1291,4451,23,19
1292,4453,23,19
1293,4454,23,29
1294,4455,23,19
1295,4456,23,19
1296,4457,23,19
1297,4459,23,3
1298,4459,23,19
1299,4460,23,3
1300,4460,23,19
1301,4461,23,19
1302,4462,23,19
1303,4462,23,21
1304,4463,23,21
1305,4464,23,21
1306,4468,23,19
1307,4469,23,19
1308,4471,23,3
1309,4472,23,9
1310,4473,23,19
1311,4474,23,19
1312,4475,23,19
1313,4476,23,9
1314,4478,23,25
1315,4479,23,21
1316,4481,23,21
1317,4485,23,21
1318,4487,23,19
1319,4488,23,19
1320,4489,23,19
1321,4490,23,29
1322,4491,23,29
1323,4492,23,29
1324,4493,23,19
1325,4495,23,19
1326,4496,23,27
1327,4497,23,3
1328,4497,23,19
1329,4530,23,23
1330,4535,23,15
1331,4537,23,15
1332,4538,23,15
1333,4539,23,15
1334,4541,23,15
1335,4543,23,15
1336,4544,23,15
1337,4547,23,13
1338,4548,23,23
1339,4551,23,15
1340,4553,23,15
1341,4554,23,15
1342,4555,23,15
